#               ucoord              vcoord                 hjd            eff_wave            vis2data             vis2err             vis2syn                chi2
  3.190644070000e+01  -4.745706940000e+01   2.456451372100e+06   8.729386570000e-04   8.878407500000e-01   5.000000000000e-02   7.896816730499e-01   3.854081755076e+00
  3.087801820000e+02  -4.933674620000e+02   2.456451372100e+06   8.729386570000e-04   1.433258200000e-01   5.000000000000e-02   2.232087962329e-02   5.856878238228e+00
  5.043349910000e+02  -3.595161130000e+02   2.456451372100e+06   8.729386570000e-04  -7.497554000000e-02   5.000000000000e-02   2.296327240765e-02   3.836804390328e+00
 -6.654693130000e+00  -7.954602810000e+01   2.456451372100e+06   8.729386570000e-04   8.080996900000e-01   5.000000000000e-02   6.228389143944e-01   1.372862199120e+01
  3.608144380000e+01   9.072977450000e+01   2.456451372100e+06   8.729386570000e-04   4.881326600000e-01   5.000000000000e-02   4.852274954319e-01   3.375992467097e-03
  3.671421050000e+01  -6.205583950000e+01   2.456451372100e+06   8.729386570000e-04   5.493255300000e-01   5.000000000000e-02   6.821288466454e-01   7.054688364803e+00
 -5.963876340000e+02   3.941128730000e+00   2.456451372100e+06   8.729386570000e-04   3.780808000000e-02   5.000000000000e-02   2.594573050737e-02   5.628613419408e-02
  1.923847810000e+02  -8.109550480000e+01   2.456451372100e+06   8.729386570000e-04   4.603854000000e-02   5.000000000000e-02   2.158067654818e-04   8.398891524327e-01
 -9.215618900000e+01  -1.509268650000e+02   2.456451372100e+06   8.729386570000e-04   2.253657100000e-01   5.000000000000e-02   3.886302560568e-02   1.391330051452e+01
  3.924671170000e+01  -1.602896730000e+02   2.456451372100e+06   8.729386570000e-04   1.747993200000e-01   5.000000000000e-02   6.528726220131e-02   4.797156321322e+00
  9.176237790000e+02  -9.717588500000e+02   2.456451372100e+06   8.729386570000e-04   4.871279000000e-02   5.000000000000e-02   1.265949686058e-04   9.442473390515e-01
  1.598615880000e+02   1.058187710000e+02   2.456451372100e+06   8.729386570000e-04   8.319593000000e-02   5.000000000000e-02   1.318728644401e-02   1.960484069020e+00
  7.563779450000e+01   5.457049850000e+00   2.456451372100e+06   8.729386570000e-04   6.250480400000e-01   5.000000000000e-02   6.628729701042e-01   5.722901349556e-01
  1.519252620000e+02  -2.939914250000e+02   2.456451372100e+06   8.729386570000e-04  -4.741056000000e-02   5.000000000000e-02   1.445531249046e-01   1.474002252887e+01
 -1.643570560000e+02  -2.466703340000e+02   2.456451372100e+06   8.729386570000e-04   2.487087000000e-02   5.000000000000e-02   9.268464893103e-02   1.839483445162e+00
  3.219551390000e+02  -2.295146790000e+02   2.456451372100e+06   8.729386570000e-04   2.208435000000e-02   5.000000000000e-02   5.520426481962e-02   4.387715030636e-01
 -8.226454160000e+01   1.274280360000e+01   2.456451372100e+06   8.729386570000e-04   6.562846300000e-01   5.000000000000e-02   6.048421263695e-01   1.058532471911e+00
 -1.051358130000e+01   9.640100480000e+00   2.456451372100e+06   8.729386570000e-04   8.812849500000e-01   5.000000000000e-02   9.858788251877e-01   4.375951490711e+00
  2.571919630000e+01  -2.568672940000e+01   2.456451372100e+06   8.729386570000e-04   8.800782600000e-01   5.000000000000e-02   9.108988046646e-01   3.799623893693e-01
  5.540436940000e+01   4.643563630000e-01   2.456451372100e+06   8.729386570000e-04   6.869197500000e-01   5.000000000000e-02   8.067042827606e-01   5.739333715472e+00
  3.531421280000e+01  -1.228514400000e+02   2.456451372100e+06   8.729386570000e-04   3.244356800000e-01   5.000000000000e-02   2.553598880768e-01   1.908586011928e+00
 -1.535604860000e+02   1.498306430000e+02   2.456451372100e+06   8.729386570000e-04  -8.790629000000e-02   5.000000000000e-02   1.799883088097e-03   3.218878996045e+00
 -8.893592070000e+01  -4.514515990000e+02   2.456451372100e+06   8.729386570000e-04   1.043594300000e-01   5.000000000000e-02   4.867467097938e-03   3.959460272842e+00
  3.774213410000e+01   2.099070740000e+01   2.456451372100e+06   8.729386570000e-04   8.654972300000e-01   5.000000000000e-02   8.787178397179e-01   6.991380852484e-02
 -2.405575180000e+01  -2.643253140000e+01   2.456451372100e+06   8.729386570000e-04   7.442551300000e-01   5.000000000000e-02   9.149735569954e-01   1.165791252631e+01
 -6.369069290000e+01   9.568458560000e+01   2.456451372100e+06   8.729386570000e-04   4.070915600000e-01   5.000000000000e-02   3.481280207634e-01   1.390679583723e+00
 -3.961575010000e+02  -3.264886170000e+02   2.456451372100e+06   8.729386570000e-04   2.155533000000e-02   5.000000000000e-02   9.664878249168e-03   5.655313713554e-02
  2.121547890000e+01  -3.494585270000e+02   2.456451372100e+06   8.729386570000e-04   8.973270000000e-03   5.000000000000e-02   1.351068764925e-01   6.363874674722e+00
  5.198659900000e+01  -1.110826800000e+02   2.456451372100e+06   8.729386570000e-04   3.726649900000e-01   5.000000000000e-02   2.912940084934e-01   2.648494652537e+00
 -2.654355160000e+02  -1.448619380000e+02   2.456451372100e+06   8.729386570000e-04   9.637574000000e-02   5.000000000000e-02   8.947996795177e-02   1.902066885643e-02
  3.473149720000e+02   1.725804290000e+02   2.456451372100e+06   8.729386570000e-04   1.247034000000e-01   5.000000000000e-02   5.086263641715e-02   2.180983346599e+00
 -3.062986450000e+02   5.133831790000e+02   2.456451372100e+06   8.729386570000e-04   1.523749000000e-02   5.000000000000e-02   2.358290180564e-02   2.785835928228e-02
  1.685761870000e+02   2.800585330000e+02   2.456451372100e+06   8.729386570000e-04   1.913210900000e-01   5.000000000000e-02   1.055368930101e-01   2.943571381278e+00
  2.945633700000e+01  -2.577460630000e+02   2.456451372100e+06   8.729386570000e-04   8.330724000000e-02   5.000000000000e-02   6.905079632998e-02   8.129847444664e-02
 -4.244718930000e+02  -7.433946530000e+02   2.456451372100e+06   8.729386570000e-04   1.232780600000e-01   5.000000000000e-02   2.347003668547e-03   5.849728154176e+00
  1.218560790000e+02  -1.418226930000e+02   2.456451372100e+06   8.729386570000e-04   8.826733000000e-02   5.000000000000e-02   1.462213136256e-02   2.169446112939e+00
 -1.033260730000e+01  -6.499871060000e+01   2.456451372100e+06   8.729386570000e-04   8.183472800000e-01   5.000000000000e-02   7.296410799026e-01   3.147515974285e+00
  3.021463320000e+02  -6.331521610000e+01   2.456451372100e+06   8.729386570000e-04   1.630906800000e-01   5.000000000000e-02   9.466277062893e-02   1.872951512358e+00
 -7.785405730000e+01   3.212449950000e+02   2.456451372100e+06   8.729386570000e-04   6.972238000000e-02   5.000000000000e-02   1.498651504517e-01   2.569145462267e+00
 -1.247383400000e+01  -1.063750150000e+02   2.456451372100e+06   8.729386570000e-04   4.166178100000e-01   5.000000000000e-02   4.077728688717e-01   3.129319342532e-02
 -4.455074670000e-02  -1.744750670000e+02   2.456451372100e+06   8.729386570000e-04   7.860173000000e-02   5.000000000000e-02   3.829117119312e-02   6.499764605291e-01
  2.201826930000e+02   4.668788150000e+02   2.456451372100e+06   8.729386570000e-04   4.330754000000e-02   5.000000000000e-02   8.147154003382e-03   4.945010973725e-01
  2.768736270000e+02  -4.459104610000e+02   2.456451372100e+06   8.729386570000e-04   1.341919900000e-01   5.000000000000e-02   6.208821199834e-03   6.551876598453e+00
  4.724284670000e+02  -3.120590820000e+02   2.456451372100e+06   8.729386570000e-04  -9.351897000000e-02   5.000000000000e-02   2.309210412204e-02   5.439257043159e+00
 -3.856115340000e+01  -3.208897020000e+01   2.456451372100e+06   8.729386570000e-04   1.110085250000e+00   5.000000000000e-02   8.385350108147e-01   2.949581296064e+01
  4.174963470000e+00   1.381868290000e+02   2.456451372100e+06   8.729386570000e-04   1.306342500000e-01   5.000000000000e-02   1.921469569206e-01   1.513525245081e+00
  4.807763100000e+00  -1.459877400000e+01   2.456451372100e+06   8.729386570000e-04   9.048364800000e-01   5.000000000000e-02   9.834579825401e-01   2.472536264667e+00
 -6.282941890000e+02   5.139814760000e+01   2.456451372100e+06   8.729386570000e-04   1.224349600000e-01   5.000000000000e-02   1.863338612020e-02   4.309906695969e+00
  1.604782870000e+02  -3.363845830000e+01   2.456451372100e+06   8.729386570000e-04   8.777986000000e-02   5.000000000000e-02   8.218112587929e-02   1.253832950177e-02
 -1.240627290000e+02  -1.034698330000e+02   2.456451372100e+06   8.729386570000e-04   1.921585800000e-01   5.000000000000e-02   9.140603244305e-02   4.060430335686e+00
  7.340239520000e+00  -1.128326190000e+02   2.456451372100e+06   8.729386570000e-04   5.863081800000e-01   5.000000000000e-02   3.606256544590e-01   2.037304093383e+01
  8.857174070000e+02  -9.243017580000e+02   2.456451372100e+06   8.729386570000e-04   1.711042200000e-01   5.000000000000e-02   1.978386426345e-04   1.168359647547e+01
  1.279551320000e+02   1.532758330000e+02   2.456451372100e+06   8.729386570000e-04   1.217995700000e-01   5.000000000000e-02   3.967098426074e-03   5.553796542888e+00
  4.373133470000e+01   5.291411210000e+01   2.456451372100e+06   8.729386570000e-04   7.284613300000e-01   5.000000000000e-02   7.133751511574e-01   9.103711682862e-02
  1.200187450000e+02  -2.465343930000e+02   2.456451372100e+06   8.729386570000e-04   1.206030400000e-01   5.000000000000e-02   9.534583240747e-02   2.551706141488e-01
 -1.962635960000e+02  -1.992133180000e+02   2.456451372100e+06   8.729386570000e-04   9.102486000000e-02   5.000000000000e-02   7.127355784178e-02   1.560455747782e-01
  2.900485840000e+02  -1.820576480000e+02   2.456451372100e+06   8.729386570000e-04   3.985217000000e-02   5.000000000000e-02   1.043803617358e-01   1.665555011478e+00
 -1.141709900000e+02   6.019986720000e+01   2.456451372100e+06   8.729386570000e-04   3.593526500000e-01   5.000000000000e-02   2.583562433720e-01   4.080109660710e+00
 -4.242002870000e+01   5.709716420000e+01   2.456451372100e+06   8.729386570000e-04   7.338798000000e-01   5.000000000000e-02   6.901570558548e-01   7.646713422347e-01
 -6.187250140000e+00   2.177033810000e+01   2.456451372100e+06   8.729386570000e-04   1.308680300000e+00   5.000000000000e-02   9.643927216530e-01   4.741357464162e+01
  2.349790760000e+01   4.792141720000e+01   2.456451372100e+06   8.729386570000e-04   9.061270400000e-01   5.000000000000e-02   8.165588378906e-01   3.208985131642e+00
  3.407744650000e+00  -7.539437870000e+01   2.456451372100e+06   8.729386570000e-04   6.684587000000e-01   5.000000000000e-02   6.559390425682e-01   6.269672888378e-02
 -1.854669650000e+02   1.972877040000e+02   2.456451372100e+06   8.729386570000e-04  -7.344880000000e-03   5.000000000000e-02   7.768990099430e-02   2.892365591499e+00
 -1.208424450000e+02  -4.039945680000e+02   2.456451372100e+06   8.729386570000e-04   8.541636000000e-02   5.000000000000e-02   3.004998713732e-02   1.226174097588e+00
  5.835675720000e+00   6.844776920000e+01   2.456451372100e+06   8.729386570000e-04   9.447753400000e-01   5.000000000000e-02   7.080274224281e-01   2.241983058985e+01
 -5.596220400000e+01   2.102453040000e+01   2.456451372100e+06   8.729386570000e-04   7.742000200000e-01   5.000000000000e-02   7.761008143425e-01   1.445207652990e-03
 -9.559715270000e+01   1.431416470000e+02   2.456451372100e+06   8.729386570000e-04   1.249228900000e-01   5.000000000000e-02   4.515553638339e-02   2.545132281199e+00
 -4.280640560000e+02  -2.790315860000e+02   2.456451372100e+06   8.729386570000e-04  -5.937206000000e-02   5.000000000000e-02   9.335860610008e-03   1.888311341820e+00
 -1.069108870000e+01  -3.020014950000e+02   2.456451372100e+06   8.729386570000e-04   1.189837800000e-01   5.000000000000e-02   1.273045092821e-01   2.769381431448e-02
  2.008013530000e+01  -6.362561800000e+01   2.456451372100e+06   8.729386570000e-04   7.451707100000e-01   5.000000000000e-02   7.216297984123e-01   2.216698073515e-01
 -2.973420720000e+02  -9.740491490000e+01   2.456451372100e+06   8.729386570000e-04   1.247268800000e-01   5.000000000000e-02   9.394036233425e-02   3.791238679934e-01
  3.154084470000e+02   2.200374760000e+02   2.456451372100e+06   8.729386570000e-04   5.768644000000e-02   5.000000000000e-02   5.497977137566e-02   2.930422016803e-03
