#                  hjd            eff_wave            eff_band                flux               error             fluxsyn             dataset               phase                chi2
  2.456451372100e+06   6.545000000000e-07   6.560000000000e-07   1.059896618600e+00   1.936522658600e-02   1.000000000000e+00   1.000000000000e+00   1.978196725249e-01   9.566640301531e+00
  2.456451372100e+06   6.545175879400e-07   6.560000000000e-07   1.036044738700e+00   2.589483775200e-02   9.953194313892e-01   1.000000000000e+00   1.978196725249e-01   2.473445535959e+00
  2.456451372100e+06   6.545351758800e-07   6.560000000000e-07   9.847723336700e-01   2.004661047400e-02   9.904097492266e-01   1.000000000000e+00   1.978196725249e-01   7.908210045523e-02
  2.456451372100e+06   6.545527638200e-07   6.560000000000e-07   8.451511963700e-01   5.814619447200e-02   9.855268782336e-01   1.000000000000e+00   1.978196725249e-01   5.828290157729e+00
  2.456451372100e+06   6.545703517600e-07   6.560000000000e-07   7.923483296500e-01   4.333246270400e-02   9.809267431317e-01   1.000000000000e+00   1.978196725249e-01   1.893900730529e+01
  2.456451372100e+06   6.545879397000e-07   6.560000000000e-07   8.554077071400e-01   5.289127709900e-02   9.768652686422e-01   1.000000000000e+00   1.978196725249e-01   5.273282137664e+00
  2.456451372100e+06   6.546055276400e-07   6.560000000000e-07   9.989354103600e-01   2.838778005900e-02   9.735453299903e-01   1.000000000000e+00   1.978196725249e-01   7.999545034025e-01
  2.456451372100e+06   6.546231155800e-07   6.560000000000e-07   1.048633104100e+00   2.267688172300e-02   9.704710249985e-01   1.000000000000e+00   1.978196725249e-01   1.188024881153e+01
  2.456451372100e+06   6.546407035200e-07   6.560000000000e-07   1.058971837600e+00   2.918979771700e-02   9.676993123165e-01   1.000000000000e+00   1.978196725249e-01   9.777277967793e+00
  2.456451372100e+06   6.546582914600e-07   6.560000000000e-07   1.057881962000e+00   2.713466397300e-02   9.655442383451e-01   1.000000000000e+00   1.978196725249e-01   1.158002327615e+01
  2.456451372100e+06   6.546758794000e-07   6.560000000000e-07   1.059148805200e+00   2.986879544900e-02   9.643198494850e-01   1.000000000000e+00   1.978196725249e-01   1.007967475119e+01
  2.456451372100e+06   6.546934673400e-07   6.560000000000e-07   1.054267578500e+00   3.263497105600e-02   9.643401921373e-01   1.000000000000e+00   1.978196725249e-01   7.593071316583e+00
  2.456451372100e+06   6.547110552800e-07   6.560000000000e-07   1.052174956800e+00   3.666588885300e-02   9.659296666869e-01   1.000000000000e+00   1.978196725249e-01   5.532817428168e+00
  2.456451372100e+06   6.547286432200e-07   6.560000000000e-07   1.061515362800e+00   1.937597331600e-02   9.691148660959e-01   1.000000000000e+00   1.978196725249e-01   2.274162826119e+01
  2.456451372100e+06   6.547462311600e-07   6.560000000000e-07   1.060096690000e+00   2.425894445700e-02   9.734931513419e-01   1.000000000000e+00   1.978196725249e-01   1.274463715391e+01
  2.456451372100e+06   6.547638191000e-07   6.560000000000e-07   1.052374291600e+00   3.615171500600e-02   9.786413162961e-01   1.000000000000e+00   1.978196725249e-01   4.159735426057e+00
  2.456451372100e+06   6.547814070400e-07   6.560000000000e-07   1.060057296300e+00   3.194201971700e-02   9.841361548293e-01   1.000000000000e+00   1.978196725249e-01   5.649379000569e+00
  2.456451372100e+06   6.547989949700e-07   6.560000000000e-07   1.074883148100e+00   3.181454557800e-02   9.895544578341e-01   1.000000000000e+00   1.978196725249e-01   7.193474532428e+00
  2.456451372100e+06   6.548165829100e-07   6.560000000000e-07   1.085933039700e+00   2.818951714500e-02   9.953030440941e-01   1.000000000000e+00   1.978196725249e-01   1.033638421022e+01
  2.456451372100e+06   6.548341708500e-07   6.560000000000e-07   1.073434070300e+00   2.841228797600e-02   1.001888253130e+00   1.000000000000e+00   1.978196725249e-01   6.340975585866e+00
  2.456451372100e+06   6.548517587900e-07   6.560000000000e-07   1.075507348400e+00   2.691747788500e-02   1.008723536541e+00   1.000000000000e+00   1.978196725249e-01   6.155646589514e+00
  2.456451372100e+06   6.548693467300e-07   6.560000000000e-07   1.073077754700e+00   3.346076866400e-02   1.015219206556e+00   1.000000000000e+00   1.978196725249e-01   2.989945253890e+00
  2.456451372100e+06   6.548869346700e-07   6.560000000000e-07   1.089475238600e+00   2.599320860700e-02   1.020785575402e+00   1.000000000000e+00   1.978196725249e-01   6.983336820330e+00
  2.456451372100e+06   6.549045226100e-07   6.560000000000e-07   1.085098240900e+00   2.824766256000e-02   1.024857449241e+00   1.000000000000e+00   1.978196725249e-01   4.547956560290e+00
  2.456451372100e+06   6.549221105500e-07   6.560000000000e-07   1.082754441800e+00   2.914186324100e-02   1.027574614899e+00   1.000000000000e+00   1.978196725249e-01   3.585304415576e+00
  2.456451372100e+06   6.549396984900e-07   6.560000000000e-07   1.086132202300e+00   2.876793517100e-02   1.029301665242e+00   1.000000000000e+00   1.978196725249e-01   3.902528988200e+00
  2.456451372100e+06   6.549572864300e-07   6.560000000000e-07   1.087400207600e+00   3.109923266300e-02   1.030274726734e+00   1.000000000000e+00   1.978196725249e-01   3.374118964243e+00
  2.456451372100e+06   6.549748743700e-07   6.560000000000e-07   1.080137463800e+00   3.271207224700e-02   1.030729925837e+00   1.000000000000e+00   1.978196725249e-01   2.281236504556e+00
  2.456451372100e+06   6.549924623100e-07   6.560000000000e-07   1.087229305700e+00   3.018976222000e-02   1.030903389016e+00   1.000000000000e+00   1.978196725249e-01   3.480944924851e+00
  2.456451372100e+06   6.550100502500e-07   6.560000000000e-07   1.092209060300e+00   3.425993631700e-02   1.030867748018e+00   1.000000000000e+00   1.978196725249e-01   3.205774888054e+00
