#                  hjd            eff_wave            eff_band                flux               error             fluxsyn             dataset               phase                chi2
  2.456451372100e+06   6.545000000000e-07   6.560000000000e-07   9.627721697400e-01   3.914581294700e-02   9.999898880869e-01   1.000000000000e+00   1.978196725249e-01   9.039176296472e-01
  2.456451372100e+06   6.545175879400e-07   6.560000000000e-07   9.491183758200e-01   3.630523970300e-02   9.985464527279e-01   1.000000000000e+00   1.978196725249e-01   1.853569226204e+00
  2.456451372100e+06   6.545351758800e-07   6.560000000000e-07   9.473347495900e-01   3.694137590500e-02   9.974834160329e-01   1.000000000000e+00   1.978196725249e-01   1.842861272446e+00
  2.456451372100e+06   6.545527638200e-07   6.560000000000e-07   9.301706825900e-01   9.053138597200e-02   9.963731486839e-01   1.000000000000e+00   1.978196725249e-01   5.347490193016e-01
  2.456451372100e+06   6.545703517600e-07   6.560000000000e-07   9.105390090800e-01   1.038172928900e-01   9.947880213635e-01   1.000000000000e+00   1.978196725249e-01   6.585522466720e-01
  2.456451372100e+06   6.545879397000e-07   6.560000000000e-07   8.988294773600e-01   9.199571747200e-02   9.923004047539e-01   1.000000000000e+00   1.978196725249e-01   1.032328415454e+00
  2.456451372100e+06   6.546055276400e-07   6.560000000000e-07   9.600923177000e-01   3.869246265800e-02   9.884681824041e-01   1.000000000000e+00   1.978196725249e-01   5.378305472145e-01
  2.456451372100e+06   6.546231155800e-07   6.560000000000e-07   9.595943406600e-01   4.752650748700e-02   9.829697591864e-01   1.000000000000e+00   1.978196725249e-01   2.419061940862e-01
  2.456451372100e+06   6.546407035200e-07   6.560000000000e-07   9.799310531700e-01   3.422573986500e-02   9.762945137601e-01   1.000000000000e+00   1.978196725249e-01   1.128940118645e-02
  2.456451372100e+06   6.546582914600e-07   6.560000000000e-07   9.775140380300e-01   3.219285379700e-02   9.690793036957e-01   1.000000000000e+00   1.978196725249e-01   6.864736349278e-02
  2.456451372100e+06   6.546758794000e-07   6.560000000000e-07   9.865815662800e-01   3.437982235800e-02   9.619609865636e-01   1.000000000000e+00   1.978196725249e-01   5.128487396541e-01
  2.456451372100e+06   6.546934673400e-07   6.560000000000e-07   9.838727452000e-01   3.163336824700e-02   9.555764199343e-01   1.000000000000e+00   1.978196725249e-01   8.001459364448e-01
  2.456451372100e+06   6.547110552800e-07   6.560000000000e-07   9.795509646600e-01   3.352034569000e-02   9.502329337214e-01   1.000000000000e+00   1.978196725249e-01   7.649844725121e-01
  2.456451372100e+06   6.547286432200e-07   6.560000000000e-07   9.770939933900e-01   3.344881975500e-02   9.451631338290e-01   1.000000000000e+00   1.978196725249e-01   9.112963332607e-01
  2.456451372100e+06   6.547462311600e-07   6.560000000000e-07   9.698454046100e-01   3.598034611700e-02   9.404438925490e-01   1.000000000000e+00   1.978196725249e-01   6.677419456230e-01
  2.456451372100e+06   6.547638191000e-07   6.560000000000e-07   9.189025003700e-01   5.299943486100e-02   9.362513866318e-01   1.000000000000e+00   1.978196725249e-01   1.071521087255e-01
  2.456451372100e+06   6.547814070400e-07   6.560000000000e-07   8.042232313900e-01   1.211632732900e-01   9.327617928275e-01   1.000000000000e+00   1.978196725249e-01   1.125446552600e+00
  2.456451372100e+06   6.547989949700e-07   6.560000000000e-07   7.971174385000e-01   1.342821377800e-01   9.301512890872e-01   1.000000000000e+00   1.978196725249e-01   9.814944091232e-01
  2.456451372100e+06   6.548165829100e-07   6.560000000000e-07   8.936081473500e-01   8.453852391000e-02   9.283222749522e-01   1.000000000000e+00   1.978196725249e-01   1.686177112080e-01
  2.456451372100e+06   6.548341708500e-07   6.560000000000e-07   9.660766162000e-01   4.207261282700e-02   9.270932064897e-01   1.000000000000e+00   1.978196725249e-01   8.585402827489e-01
  2.456451372100e+06   6.548517587900e-07   6.560000000000e-07   9.861070278100e-01   3.697432469800e-02   9.266019639649e-01   1.000000000000e+00   1.978196725249e-01   2.590045237495e+00
  2.456451372100e+06   6.548693467300e-07   6.560000000000e-07   9.953200760000e-01   3.367302850600e-02   9.269872167930e-01   1.000000000000e+00   1.978196725249e-01   4.118080481849e+00
  2.456451372100e+06   6.548869346700e-07   6.560000000000e-07   9.963620372800e-01   3.412088438200e-02   9.283876343895e-01   1.000000000000e+00   1.978196725249e-01   3.968718030713e+00
  2.456451372100e+06   6.549045226100e-07   6.560000000000e-07   9.945453438300e-01   3.595641745400e-02   9.309721927954e-01   1.000000000000e+00   1.978196725249e-01   3.126040843908e+00
  2.456451372100e+06   6.549221105500e-07   6.560000000000e-07   9.904050115500e-01   3.329302810900e-02   9.352819883327e-01   1.000000000000e+00   1.978196725249e-01   2.741318278669e+00
  2.456451372100e+06   6.549396984900e-07   6.560000000000e-07   9.897253558900e-01   3.572312153900e-02   9.409882077443e-01   1.000000000000e+00   1.978196725249e-01   1.861321626367e+00
  2.456451372100e+06   6.549572864300e-07   6.560000000000e-07   9.928666992900e-01   3.738966130500e-02   9.474533242689e-01   1.000000000000e+00   1.978196725249e-01   1.475246169259e+00
  2.456451372100e+06   6.549748743700e-07   6.560000000000e-07   9.853606260900e-01   3.872592048400e-02   9.540398111449e-01   1.000000000000e+00   1.978196725249e-01   6.541278024178e-01
  2.456451372100e+06   6.549924623100e-07   6.560000000000e-07   9.814377740000e-01   3.875502683000e-02   9.601101416110e-01   1.000000000000e+00   1.978196725249e-01   3.028511374835e-01
  2.456451372100e+06   6.550100502500e-07   6.560000000000e-07   9.978161514100e-01   3.934787314500e-02   9.653184869861e-01   1.000000000000e+00   1.978196725249e-01   6.821215564921e-01
  2.456451372100e+06   6.550276381900e-07   6.560000000000e-07   1.012547994400e+00   3.479828169900e-02   9.704924862131e-01   1.000000000000e+00   1.978196725249e-01   1.460596217074e+00
  2.456451372100e+06   6.550452261300e-07   6.560000000000e-07   1.004679471200e+00   3.816398919500e-02   9.755300625650e-01   1.000000000000e+00   1.978196725249e-01   5.833805808420e-01
  2.456451372100e+06   6.550628140700e-07   6.560000000000e-07   9.870401846400e-01   7.879019996300e-02   9.801841540196e-01   1.000000000000e+00   1.978196725249e-01   7.571834131743e-03
  2.456451372100e+06   6.550804020100e-07   6.560000000000e-07   1.003147307900e+00   3.296152579300e-02   9.842076985548e-01   1.000000000000e+00   1.978196725249e-01   3.301622531296e-01
  2.456451372100e+06   6.550979899500e-07   6.560000000000e-07   9.962165372900e-01   3.540054774600e-02   9.873536341483e-01   1.000000000000e+00   1.978196725249e-01   6.268044089035e-02
  2.456451372100e+06   6.551155778900e-07   6.560000000000e-07   1.003090010100e+00   3.342701446900e-02   9.894366292849e-01   1.000000000000e+00   1.978196725249e-01   1.668342558128e-01
  2.456451372100e+06   6.551331658300e-07   6.560000000000e-07   1.007841539400e+00   3.115198934900e-02   9.905937721972e-01   1.000000000000e+00   1.978196725249e-01   3.065449684779e-01
  2.456451372100e+06   6.551507537700e-07   6.560000000000e-07   1.014825959900e+00   3.477418549300e-02   9.910667268739e-01   1.000000000000e+00   1.978196725249e-01   4.668215553413e-01
  2.456451372100e+06   6.551683417100e-07   6.560000000000e-07   1.016557255200e+00   3.677868361200e-02   9.910972018097e-01   1.000000000000e+00   1.978196725249e-01   4.792104261361e-01
  2.456451372100e+06   6.551859296500e-07   6.560000000000e-07   1.019655988400e+00   4.051869861100e-02   9.909269054998e-01   1.000000000000e+00   1.978196725249e-01   5.027273914935e-01
  2.456451372100e+06   6.552035175900e-07   6.560000000000e-07   1.022777186300e+00   4.051802526600e-02   9.907813855658e-01   1.000000000000e+00   1.978196725249e-01   6.235760475307e-01
  2.456451372100e+06   6.552211055300e-07   6.560000000000e-07   1.027842822500e+00   3.916728177700e-02   9.903753499839e-01   1.000000000000e+00   1.978196725249e-01   9.150860398711e-01
