#                  hjd            eff_wave            eff_band                flux               error             fluxsyn             dataset               phase                chi2
  2.456451372100e+06   6.545000000000e-07   6.560000000000e-07   9.961531379100e-01   1.922400333700e-01   9.999996622472e-01   1.000000000000e+00   1.978196725249e-01   4.003587299011e-04
  2.456451372100e+06   6.545175879400e-07   6.560000000000e-07   9.819364429900e-01   1.893994601300e-01   1.000433012982e+00   1.000000000000e+00   1.978196725249e-01   9.537288649738e-03
  2.456451372100e+06   6.545351758800e-07   6.560000000000e-07   9.800018275700e-01   1.900355963300e-01   1.001425825614e+00   1.000000000000e+00   1.978196725249e-01   1.270957780197e-02
  2.456451372100e+06   6.545527638200e-07   6.560000000000e-07   9.621582078600e-01   2.436256064000e-01   1.002349174934e+00   1.000000000000e+00   1.978196725249e-01   2.721516967949e-02
  2.456451372100e+06   6.545703517600e-07   6.560000000000e-07   9.417656075900e-01   2.569115133200e-01   1.002574135732e+00   1.000000000000e+00   1.978196725249e-01   5.602241784629e-02
  2.456451372100e+06   6.545879397000e-07   6.560000000000e-07   9.295698052800e-01   2.450899379000e-01   1.001471782797e+00   1.000000000000e+00   1.978196725249e-01   8.606581909224e-02
  2.456451372100e+06   6.546055276400e-07   6.560000000000e-07   9.928374064500e-01   1.917866830900e-01   9.983975364955e-01   1.000000000000e+00   1.978196725249e-01   8.404908742698e-04
  2.456451372100e+06   6.546231155800e-07   6.560000000000e-07   9.922320558600e-01   2.006207279100e-01   9.929397240459e-01   1.000000000000e+00   1.978196725249e-01   1.244250259365e-05
  2.456451372100e+06   6.546407035200e-07   6.560000000000e-07   1.013168172200e+00   1.873199602900e-01   9.857866421555e-01   1.000000000000e+00   1.978196725249e-01   2.136718501406e-02
  2.456451372100e+06   6.546582914600e-07   6.560000000000e-07   1.010577133300e+00   1.852870742200e-01   9.778132008220e-01   1.000000000000e+00   1.978196725249e-01   3.126812195846e-02
  2.456451372100e+06   6.546758794000e-07   6.560000000000e-07   1.019858477800e+00   1.874740427800e-01   9.698943100436e-01   1.000000000000e+00   1.978196725249e-01   7.102888971173e-02
  2.456451372100e+06   6.546934673400e-07   6.560000000000e-07   1.016965680600e+00   1.847275886700e-01   9.629048798180e-01   1.000000000000e+00   1.978196725249e-01   8.564488418645e-02
  2.456451372100e+06   6.547110552800e-07   6.560000000000e-07   1.012406350100e+00   1.866145661200e-01   9.573611405879e-01   1.000000000000e+00   1.978196725249e-01   8.700575486530e-02
  2.456451372100e+06   6.547286432200e-07   6.560000000000e-07   1.009775031500e+00   1.865430401800e-01   9.524274382627e-01   1.000000000000e+00   1.978196725249e-01   9.450880928702e-02
  2.456451372100e+06   6.547462311600e-07   6.560000000000e-07   1.002192759300e+00   1.890745665400e-01   9.479692217227e-01   1.000000000000e+00   1.978196725249e-01   8.224499314737e-02
  2.456451372100e+06   6.547638191000e-07   6.560000000000e-07   9.494643205900e-01   2.060936552900e-01   9.439509095970e-01   1.000000000000e+00   1.978196725249e-01   7.156678234665e-04
  2.456451372100e+06   6.547814070400e-07   6.560000000000e-07   8.308952984300e-01   2.742574937200e-01   9.403369205150e-01   1.000000000000e+00   1.978196725249e-01   1.592384848953e-01
  2.456451372100e+06   6.547989949700e-07   6.560000000000e-07   8.234788936300e-01   2.873763582100e-01   9.370916748530e-01   1.000000000000e+00   1.978196725249e-01   1.562975999273e-01
  2.456451372100e+06   6.548165829100e-07   6.560000000000e-07   9.230766394100e-01   2.376327443400e-01   9.339729874556e-01   1.000000000000e+00   1.978196725249e-01   2.102564689024e-03
  2.456451372100e+06   6.548341708500e-07   6.560000000000e-07   9.978440976000e-01   1.951668332500e-01   9.309313306349e-01   1.000000000000e+00   1.978196725249e-01   1.175454837125e-01
  2.456451372100e+06   6.548517587900e-07   6.560000000000e-07   1.018440501700e+00   1.900685451200e-01   9.283065974771e-01   1.000000000000e+00   1.978196725249e-01   2.248826062018e-01
  2.456451372100e+06   6.548693467300e-07   6.560000000000e-07   1.027862120600e+00   1.867672489300e-01   9.264394551241e-01   1.000000000000e+00   1.978196725249e-01   2.948958063552e-01
  2.456451372100e+06   6.548869346700e-07   6.560000000000e-07   1.028844552100e+00   1.872151048100e-01   9.256705707179e-01   1.000000000000e+00   1.978196725249e-01   3.037096623441e-01
