#                  hjd            eff_wave            eff_band                flux               error             fluxsyn             dataset               phase                chi2
  2.459337854170e+06   3.441183415788e-07   3.441183415788e-07   2.700154802572e-05   2.531658074356e-10   4.539664038989e-06   1.000000000000e+00   6.122693270445e-01   7.871948798281e+09
  2.459337854170e+06   3.441183415788e-07   3.441183415788e-07   2.708073205655e-05   2.531658074356e-10   4.539664038989e-06   1.000000000000e+00   6.122693270445e-01   7.927547993985e+09
  2.459337854170e+06   3.441183415788e-07   3.441183415788e-07   2.700154802572e-05   2.531658074356e-10   4.539664038989e-06   1.000000000000e+00   6.122693270445e-01   7.871948798281e+09
  2.459337854170e+06   3.441183415788e-07   3.441183415788e-07   2.708073205655e-05   2.531658074356e-10   4.539664038989e-06   1.000000000000e+00   6.122693270445e-01   7.927547993985e+09
  2.459337854170e+06   4.442027826345e-07   4.442027826345e-07   1.520667573991e-05   4.679601386062e-08   1.726107414868e-05   1.000000000000e+00   6.122693270445e-01   1.927310192415e+03
  2.459337854170e+06   4.442027826345e-07   4.442027826345e-07   2.781996502166e-05   1.367415994028e-08   1.726107414868e-05   1.000000000000e+00   6.122693270445e-01   5.962594734026e+05
  2.459337854170e+06   4.442027826345e-07   4.442027826345e-07   2.781996502166e-05   1.367415994028e-08   1.726107414868e-05   1.000000000000e+00   6.122693270445e-01   5.962594734026e+05
  2.459337854170e+06   4.442027826345e-07   4.442027826345e-07   2.805572702773e-05   7.596756013699e-09   1.726107414868e-05   1.000000000000e+00   6.122693270445e-01   2.019114772112e+06
  2.459337854170e+06   4.442027826345e-07   4.442027826345e-07   2.781996502166e-05   1.367415994028e-08   1.726107414868e-05   1.000000000000e+00   6.122693270445e-01   5.962594734026e+05
  2.459337854170e+06   4.442027826345e-07   4.442027826345e-07   2.781996502166e-05   1.367415994028e-08   1.726107414868e-05   1.000000000000e+00   6.122693270445e-01   5.962594734026e+05
  2.459337854170e+06   4.442027826345e-07   4.442027826345e-07   2.781996502166e-05   1.367415994028e-08   1.726107414868e-05   1.000000000000e+00   6.122693270445e-01   5.962594734026e+05
  2.459337854170e+06   4.680015891848e-07   4.680015891848e-07   2.530714667988e-05   7.528158156570e-08   2.061818662125e-05   1.000000000000e+00   6.122693270445e-01   3.879498584918e+03
  2.459337854170e+06   4.819969420239e-07   4.819969420239e-07   2.881357250127e-05   1.290423185946e-08   2.141206712922e-05   1.000000000000e+00   6.122693270445e-01   3.289847765969e+05
  2.459337854170e+06   4.819969420239e-07   4.819969420239e-07   2.864985929837e-05   1.290423185946e-08   2.141206712922e-05   1.000000000000e+00   6.122693270445e-01   3.145921642711e+05
  2.459337854170e+06   4.819969420239e-07   4.819969420239e-07   2.652158461123e-05   6.452115929728e-09   2.141206712922e-05   1.000000000000e+00   6.122693270445e-01   6.271269359304e+05
  2.459337854170e+06   4.968386774942e-07   4.968386774942e-07   3.810609574467e-05   8.501350721521e-09   1.676392664800e-05   1.000000000000e+00   6.122693270445e-01   6.302331549343e+06
  2.459337854170e+06   4.968386774942e-07   4.968386774942e-07   3.839368843495e-05   8.501350721521e-09   1.676392664800e-05   1.000000000000e+00   6.122693270445e-01   6.473327901368e+06
  2.459337854170e+06   5.035989551487e-07   5.035989551487e-07   3.530180640745e-05   2.364182764381e-09   1.915665688068e-05   1.000000000000e+00   6.122693270445e-01   4.663608115320e+07
  2.459337854170e+06   5.035989551487e-07   5.035989551487e-07   3.530180640745e-05   2.364182764381e-09   1.915665688068e-05   1.000000000000e+00   6.122693270445e-01   4.663608115320e+07
  2.459337854170e+06   5.046161555294e-07   5.046161555294e-07   3.409245184522e-05   3.531991723065e-09   1.561485210298e-05   1.000000000000e+00   6.122693270445e-01   2.736854794218e+07
  2.459337854170e+06   5.537049258445e-07   5.537049258445e-07   2.001052109498e-05   7.822650094673e-09   2.466148526169e-05   1.000000000000e+00   6.122693270445e-01   3.534908506005e+05
  2.459337854170e+06   5.537049258445e-07   5.537049258445e-07   2.001052109498e-05   7.822650094673e-09   2.466148526169e-05   1.000000000000e+00   6.122693270445e-01   3.534908506005e+05
  2.459337854170e+06   5.537049258445e-07   5.537049258445e-07   2.615548417344e-05   1.564530018935e-08   2.466148526169e-05   1.000000000000e+00   6.122693270445e-01   9.118696503182e+03
  2.459337854170e+06   5.537049258445e-07   5.537049258445e-07   2.591914130215e-05   8.800481427654e-09   2.466148526169e-05   1.000000000000e+00   6.122693270445e-01   2.042259385524e+04
  2.459337854170e+06   5.537049258445e-07   5.537049258445e-07   2.568279549602e-05   1.232067422638e-07   2.466148526169e-05   1.000000000000e+00   6.122693270445e-01   6.871418801942e+01
  2.459337854170e+06   5.537049258445e-07   5.537049258445e-07   2.615548417344e-05   1.564530018935e-08   2.466148526169e-05   1.000000000000e+00   6.122693270445e-01   9.118696503182e+03
  2.459337854170e+06   5.537049258445e-07   5.537049258445e-07   2.615548417344e-05   1.564530018935e-08   2.466148526169e-05   1.000000000000e+00   6.122693270445e-01   9.118696503182e+03
  2.459337854170e+06   5.822343328802e-07   5.822343328802e-07   3.563062711079e-05   1.768703622974e-09   2.774022332779e-05   1.000000000000e+00   6.122693270445e-01   1.990161524493e+07
  2.459337854170e+06   5.822343328802e-07   5.822343328802e-07   3.563062711079e-05   1.768703622974e-09   2.774022332779e-05   1.000000000000e+00   6.122693270445e-01   1.990161524493e+07
  2.459337854170e+06   6.040549224260e-07   6.040549224260e-07   2.774209279797e-05   1.068098243725e-08   2.747313113388e-05   1.000000000000e+00   6.122693270445e-01   6.341008923105e+02
  2.459337854170e+06   6.040549224260e-07   6.040549224260e-07   2.774209279797e-05   9.859368845067e-09   2.747313113388e-05   1.000000000000e+00   6.122693270445e-01   7.441877861389e+02
  2.459337854170e+06   6.226219273105e-07   6.226219273105e-07   2.780748530918e-05   7.733424839633e-10   2.505169783946e-05   1.000000000000e+00   6.122693270445e-01   1.269836201674e+07
  2.459337854170e+06   6.246977662013e-07   6.246977662013e-07   2.826271020653e-05   1.690065262598e-08   2.409755994934e-05   1.000000000000e+00   6.122693270445e-01   6.073714804467e+04
  2.459337854170e+06   6.246977662013e-07   6.246977662013e-07   2.770026742187e-05   2.458276696816e-08   2.409755994934e-05   1.000000000000e+00   6.122693270445e-01   2.147813026736e+04
  2.459337854170e+06   6.246977662013e-07   6.246977662013e-07   2.755965803524e-05   2.458276696816e-08   2.409755994934e-05   1.000000000000e+00   6.122693270445e-01   1.983431504211e+04
  2.459337854170e+06   6.246977662013e-07   6.246977662013e-07   8.952201372636e-06   3.072845871020e-09   2.409755994934e-05   1.000000000000e+00   6.122693270445e-01   2.429279948239e+07
  2.459337854170e+06   6.399941464039e-07   6.399941464039e-07   2.807838723846e-05   1.946929959259e-07   2.605087291169e-05   1.000000000000e+00   6.122693270445e-01   1.084494133946e+02
  2.459337854170e+06   6.729952363849e-07   6.729952363849e-07   1.828100827996e-05   6.619066000223e-10   2.567572364830e-05   1.000000000000e+00   6.122693270445e-01   1.248100338961e+08
  2.459337854170e+06   6.729952363849e-07   6.729952363849e-07   1.828100827996e-05   6.619066000223e-10   2.567572364830e-05   1.000000000000e+00   6.122693270445e-01   1.248100338961e+08
  2.459337854170e+06   6.729952363849e-07   6.729952363849e-07   7.503399110514e-06   1.323813200045e-09   2.567572364830e-05   1.000000000000e+00   6.122693270445e-01   1.884375955444e+08
  2.459337854170e+06   6.729952363849e-07   6.729952363849e-07   1.828100827996e-05   6.619066000223e-10   2.567572364830e-05   1.000000000000e+00   6.122693270445e-01   1.248100338961e+08
  2.459337854170e+06   6.729952363849e-07   6.729952363849e-07   1.851975302812e-05   1.323813200045e-09   2.567572364830e-05   1.000000000000e+00   6.122693270445e-01   2.922023357827e+07
  2.459337854170e+06   6.729952363849e-07   6.729952363849e-07   7.605718016036e-06   1.323813200045e-09   2.567572364830e-05   1.000000000000e+00   6.122693270445e-01   1.863215813142e+08
  2.459337854170e+06   6.729952363849e-07   6.729952363849e-07   4.638465181895e-05   6.619066481824e-09   2.567572364830e-05   1.000000000000e+00   6.122693270445e-01   9.788626489424e+06
  2.459337854170e+06   6.729952363849e-07   6.729952363849e-07   1.851975302812e-05   1.323813200045e-09   2.567572364830e-05   1.000000000000e+00   6.122693270445e-01   2.922023357827e+07
  2.459337854170e+06   6.729952363849e-07   6.729952363849e-07   7.605718016036e-06   1.323813200045e-09   2.567572364830e-05   1.000000000000e+00   6.122693270445e-01   1.863215813142e+08
  2.459337854170e+06   6.729952363849e-07   6.729952363849e-07   2.244198599842e-05   6.619066000223e-10   2.567572364830e-05   1.000000000000e+00   6.122693270445e-01   2.386800625940e+07
  2.459337854170e+06   6.729952363849e-07   6.729952363849e-07   1.828100827996e-05   6.619066000223e-10   2.567572364830e-05   1.000000000000e+00   6.122693270445e-01   1.248100338961e+08
  2.459337854170e+06   6.729952363849e-07   6.729952363849e-07   4.604358752998e-05   6.619066481824e-09   2.567572364830e-05   1.000000000000e+00   6.122693270445e-01   9.468855336893e+06
  2.459337854170e+06   6.729952363849e-07   6.729952363849e-07   7.469292808674e-06   1.323813200045e-09   2.567572364830e-05   1.000000000000e+00   6.122693270445e-01   1.891455886904e+08
  2.459337854170e+06   6.729952363849e-07   6.729952363849e-07   4.604358752998e-05   6.619066481824e-09   2.567572364830e-05   1.000000000000e+00   6.122693270445e-01   9.468855336893e+06
  2.459337854170e+06   6.729952363849e-07   6.729952363849e-07   4.638465181895e-05   6.619066481824e-09   2.567572364830e-05   1.000000000000e+00   6.122693270445e-01   9.788626489424e+06
  2.459337854170e+06   6.729952363849e-07   6.729952363849e-07   1.828100827996e-05   6.619066000223e-10   2.567572364830e-05   1.000000000000e+00   6.122693270445e-01   1.248100338961e+08
  2.459337854170e+06   7.620550533808e-07   7.620550533808e-07   2.463143720477e-05   5.162356931303e-09   2.365305969203e-05   1.000000000000e+00   6.122693270445e-01   3.591839041412e+04
  2.459337854170e+06   7.620550533808e-07   7.620550533808e-07   2.463143720477e-05   5.162356931303e-09   2.365305969203e-05   1.000000000000e+00   6.122693270445e-01   3.591839041412e+04
  2.459337854170e+06   7.634912086793e-07   7.634912086793e-07   2.487718297468e-05   3.085772296651e-08   2.499440785993e-05   1.000000000000e+00   6.122693270445e-01   1.443151353809e+01
  2.459337854170e+06   7.634912086793e-07   7.634912086793e-07   2.487718297468e-05   2.571476834046e-08   2.499440785993e-05   1.000000000000e+00   6.122693270445e-01   2.078138078513e+01
  2.459337854170e+06   7.634912086793e-07   7.634912086793e-07   2.466455704589e-05   2.571476834046e-08   2.499440785993e-05   1.000000000000e+00   6.122693270445e-01   1.645393919441e+02
  2.459337854170e+06   7.724618861118e-07   7.724618861118e-07   2.377706222846e-05   5.024196344330e-09   2.431024536370e-05   1.000000000000e+00   6.122693270445e-01   1.126210577066e+04
  2.459337854170e+06   7.836891776023e-07   7.836891776023e-07   2.306961571118e-05   2.343010556275e-07   2.341180962326e-05   1.000000000000e+00   6.122693270445e-01   2.133025596475e+00
  2.459337854170e+06   1.030497930703e-06   1.030497930703e-06   6.675314542471e-06   2.823101182284e-10   1.856139317857e-05   1.000000000000e+00   6.122693270445e-01   1.772655369379e+09
  2.459337854170e+06   1.030497930703e-06   1.030497930703e-06   6.675314542471e-06   2.823101182284e-10   1.856139317857e-05   1.000000000000e+00   6.122693270445e-01   1.772655369379e+09
  2.459337854170e+06   1.239016606051e-06   1.239016606051e-06   1.191701039629e-05   1.366987370475e-08   1.595498246255e-05   1.000000000000e+00   6.122693270445e-01   8.725646533683e+04
  2.459337854170e+06   1.239016606051e-06   1.239016606051e-06   1.187977021743e-05   1.366987370475e-08   1.595498246255e-05   1.000000000000e+00   6.122693270445e-01   8.887333158781e+04
  2.459337854170e+06   1.239016606051e-06   1.239016606051e-06   1.191701039629e-05   1.366987370475e-08   1.595498246255e-05   1.000000000000e+00   6.122693270445e-01   8.725646533683e+04
  2.459337854170e+06   1.239016606051e-06   1.239016606051e-06   1.191701039629e-05   1.171703434425e-08   1.595498246255e-05   1.000000000000e+00   6.122693270445e-01   1.187657497533e+05
  2.459337854170e+06   1.239016606051e-06   1.239016606051e-06   1.202873315259e-05   1.366987370475e-08   1.595498246255e-05   1.000000000000e+00   6.122693270445e-01   8.249483188482e+04
  2.459337854170e+06   1.239016606051e-06   1.239016606051e-06   1.191701039629e-05   1.171703434425e-08   1.595498246255e-05   1.000000000000e+00   6.122693270445e-01   1.187657497533e+05
  2.459337854170e+06   1.239016606051e-06   1.239016606051e-06   1.191701039629e-05   3.515110121403e-08   1.595498246255e-05   1.000000000000e+00   6.122693270445e-01   1.319619578258e+04
  2.459337854170e+06   1.239016606051e-06   1.239016606051e-06   1.191701039629e-05   1.366987370475e-08   1.595498246255e-05   1.000000000000e+00   6.122693270445e-01   8.725646533683e+04
  2.459337854170e+06   1.239016606051e-06   1.239016606051e-06   1.191701039629e-05   1.366987370475e-08   1.595498246255e-05   1.000000000000e+00   6.122693270445e-01   8.725646533683e+04
  2.459337854170e+06   1.239016606051e-06   1.239016606051e-06   1.191701039629e-05   1.366987370475e-08   1.595498246255e-05   1.000000000000e+00   6.122693270445e-01   8.725646533683e+04
