#                  hjd            eff_wave            eff_band                flux               error             fluxsyn             dataset               phase                chi2
  2.459337854170e+06   3.441183415788e-07   3.441183415788e-07   2.700154802572e-05   2.531658074356e-10   1.473159579578e-23   1.000000000000e+00   6.122693270445e-01   1.137541442818e+10
  2.459337854170e+06   3.441183415788e-07   3.441183415788e-07   2.708073205655e-05   2.531658074356e-10   1.473159579578e-23   1.000000000000e+00   6.122693270445e-01   1.144223074001e+10
  2.459337854170e+06   3.441183415788e-07   3.441183415788e-07   2.700154802572e-05   2.531658074356e-10   1.473159579578e-23   1.000000000000e+00   6.122693270445e-01   1.137541442818e+10
  2.459337854170e+06   3.441183415788e-07   3.441183415788e-07   2.708073205655e-05   2.531658074356e-10   1.473159579578e-23   1.000000000000e+00   6.122693270445e-01   1.144223074001e+10
  2.459337854170e+06   4.442027826345e-07   4.442027826345e-07   1.520667573991e-05   4.679601386062e-08   5.385738048147e-20   1.000000000000e+00   6.122693270445e-01   1.055968221906e+05
  2.459337854170e+06   4.442027826345e-07   4.442027826345e-07   2.781996502166e-05   1.367415994028e-08   5.385738048147e-20   1.000000000000e+00   6.122693270445e-01   4.139156512687e+06
  2.459337854170e+06   4.442027826345e-07   4.442027826345e-07   2.781996502166e-05   1.367415994028e-08   5.385738048147e-20   1.000000000000e+00   6.122693270445e-01   4.139156512687e+06
  2.459337854170e+06   4.442027826345e-07   4.442027826345e-07   2.805572702773e-05   7.596756013699e-09   5.385738048147e-20   1.000000000000e+00   6.122693270445e-01   1.363913091867e+07
  2.459337854170e+06   4.442027826345e-07   4.442027826345e-07   2.781996502166e-05   1.367415994028e-08   5.385738048147e-20   1.000000000000e+00   6.122693270445e-01   4.139156512687e+06
  2.459337854170e+06   4.442027826345e-07   4.442027826345e-07   2.781996502166e-05   1.367415994028e-08   5.385738048147e-20   1.000000000000e+00   6.122693270445e-01   4.139156512687e+06
  2.459337854170e+06   4.442027826345e-07   4.442027826345e-07   2.781996502166e-05   1.367415994028e-08   5.385738048147e-20   1.000000000000e+00   6.122693270445e-01   4.139156512687e+06
  2.459337854170e+06   4.680015891848e-07   4.680015891848e-07   2.530714667988e-05   7.528158156570e-08   2.662133328805e-19   1.000000000000e+00   6.122693270445e-01   1.130079236750e+05
  2.459337854170e+06   4.819969420239e-07   4.819969420239e-07   2.881357250127e-05   1.290423185946e-08   6.350711586914e-19   1.000000000000e+00   6.122693270445e-01   4.985743150767e+06
  2.459337854170e+06   4.819969420239e-07   4.819969420239e-07   2.864985929837e-05   1.290423185946e-08   6.350711586914e-19   1.000000000000e+00   6.122693270445e-01   4.929248029026e+06
  2.459337854170e+06   4.819969420239e-07   4.819969420239e-07   2.652158461123e-05   6.452115929728e-09   6.350711586914e-19   1.000000000000e+00   6.122693270445e-01   1.689641676844e+07
  2.459337854170e+06   4.968386774942e-07   4.968386774942e-07   3.810609574467e-05   8.501350721521e-09   1.456008338391e-18   1.000000000000e+00   6.122693270445e-01   2.009153147625e+07
  2.459337854170e+06   4.968386774942e-07   4.968386774942e-07   3.839368843495e-05   8.501350721521e-09   1.456008338391e-18   1.000000000000e+00   6.122693270445e-01   2.039594376949e+07
