#               ucoord              vcoord                 hjd            eff_wave            vis2data             vis2err             vis2syn                chi2
 -1.153562490000e+02  -5.955262140000e+01   2.458656656316e+06   1.998011280000e-06   6.886088590000e-01   6.772333290000e-02   7.806820869446e-01   1.848375026117e+00
 -1.160201300000e+02  -5.707632760000e+01   2.458656664511e+06   1.996186000000e-06   7.559681330000e-01   4.101078270000e-02   7.814851999283e-01   3.871376321938e-01
 -1.160201330000e+02  -5.707631510000e+01   2.458656664511e+06   2.010080420000e-06   7.527067500000e-01   5.851449090000e-02   7.606874108315e-01   1.860162336232e-02
 -1.164291730000e+02  -5.233349380000e+01   2.458656680128e+06   2.007273310000e-06   7.701455060000e-01   6.137964620000e-02   7.644604444504e-01   8.578701969474e-03
 -1.162261650000e+02  -5.005727720000e+01   2.458656687623e+06   2.005407160000e-06   7.528755900000e-01   4.001351880000e-02   7.671068906784e-01   1.264956814348e-01
 -1.146892090000e+02  -4.464693590000e+01   2.458656705562e+06   1.992245870000e-06   6.304348410000e-01   4.004945510000e-02   7.964174747467e-01   1.717639741201e+01
 -1.153562490000e+02  -5.955262120000e+01   2.458656656316e+06   2.012458360000e-06   7.069078460000e-01   5.770014930000e-02   7.599130272865e-01   8.438840424641e-01
 -1.153562490000e+02  -5.955262120000e+01   2.458656656316e+06   2.030160830000e-06   7.103460300000e-01   3.549875890000e-02   7.634546160698e-01   2.238221891486e+00
 -1.160201330000e+02  -5.707631510000e+01   2.458656664511e+06   2.035577250000e-06   7.796986370000e-01   2.779153540000e-02   7.657579779625e-01   2.516178972951e-01
 -1.164291680000e+02  -5.233333590000e+01   2.458656680128e+06   2.038483630000e-06   7.917691960000e-01   2.456814400000e-02   7.705761194229e-01   7.441205816038e-01
 -1.162831900000e+02  -5.069658280000e+01   2.458656685518e+06   2.039045250000e-06   7.773069410000e-01   5.290584310000e-02   7.728205323219e-01   7.191018147403e-03
 -1.162262150000e+02  -5.005759760000e+01   2.458656687622e+06   2.050034020000e-06   7.682587570000e-01   9.903219730000e-02   7.757111191750e-01   5.662850227089e-03
 -1.146891910000e+02  -4.464689390000e+01   2.458656705563e+06   2.012198480000e-06   6.614531940000e-01   7.467042030000e-02   7.781453132629e-01   2.442226068792e+00
 -1.135593080000e+02  -4.231739040000e+01   2.458656713386e+06   1.999845370000e-06   7.195948570000e-01   5.921014640000e-02   8.026409149170e-01   1.967187581086e+00
 -1.105319470000e+02  -6.816999300000e+01   2.458656627197e+06   1.990660620000e-06   7.388970750000e-01   2.066531300000e-02   7.799888253212e-01   3.953896585565e+00
 -1.153562490000e+02  -5.955262130000e+01   2.458656656316e+06   2.060046350000e-06   7.010336870000e-01   6.793488640000e-02   7.692705392838e-01   1.008909619447e+00
 -1.160201310000e+02  -5.707632250000e+01   2.458656664511e+06   2.064557670000e-06   7.683611380000e-01   5.422832880000e-02   7.713413834572e-01   3.020310747521e-03
 -1.160201330000e+02  -5.707631510000e+01   2.458656664511e+06   2.083004020000e-06   7.865858530000e-01   2.503268840000e-02   7.747988104820e-01   2.217148148537e-01
 -1.164291680000e+02  -5.233333590000e+01   2.458656680128e+06   2.079240830000e-06   7.948514050000e-01   4.252454260000e-02   7.782332301140e-01   1.527169873718e-01
 -1.162261730000e+02  -5.005732720000e+01   2.458656687623e+06   2.075392950000e-06   7.809007780000e-01   4.283711720000e-02   7.804037928581e-01   1.346003958210e-04
 -1.146891910000e+02  -4.464689450000e+01   2.458656705563e+06   2.048243840000e-06   6.811405360000e-01   5.898966680000e-02   7.848351001740e-01   3.090011495171e+00
 -1.135593210000e+02  -4.231741330000e+01   2.458656713386e+06   2.028047100000e-06   7.587822120000e-01   4.208990490000e-02   7.863969802856e-01   4.304541685270e-01
