 Niter                routsh                   vsh                evelsh                tempsh                denssh                vgamma     nlc   nvis2     ncp  nt3amp nvisamp nvisphi    nsed    nspe  ntotal          chi2lc        chi2vis2          chi2cp       chi2t3amp      chi2visamp      chi2visphi         chi2sed         chi2spe       chi2total        r_chi2lc      r_chi2vis2        r_chi2cp     r_chi2t3amp    r_chi2visamp    r_chi2visphi       r_chi2sed       r_chi2spe     r_chi2total
     0                 16.64                 380.8                     1                  9000             1.818e-13     87.40000000000001       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       201.87364       201.87364               0               0               0               0               0               0               0       1.0093682       1.0093682
     1                 25.89                 380.8                     1                  9000             1.818e-13     87.40000000000001       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0        204.0771        204.0771               0               0               0               0               0               0               0       1.0203855       1.0203855
     2                 16.64                 418.3                     1                  9000             1.818e-13     87.40000000000001       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       223.95728       223.95728               0               0               0               0               0               0               0       1.1197864       1.1197864
     3                 16.64                 380.8                  1.15                  9000             1.818e-13     87.40000000000001       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       219.94783       219.94783               0               0               0               0               0               0               0       1.0997392       1.0997392
     4                 16.64                 380.8                     1                 10000             1.818e-13     87.40000000000001       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       207.13927       207.13927               0               0               0               0               0               0               0       1.0356964       1.0356964
     5                 16.64                 380.8                     1                  9000             2.318e-13     87.40000000000001       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       335.15487       335.15487               0               0               0               0               0               0               0       1.6757744       1.6757744
     6                 16.64                 380.8                     1                  9000             1.818e-13                 109.9       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       248.02218       248.02218               0               0               0               0               0               0               0       1.2401109       1.2401109
     7     19.72333333333333                 393.3                  1.05     9333.333333333332             1.318e-13     94.89999999999998       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       319.39364       319.39364               0               0               0               0               0               0               0       1.5969682       1.5969682
     8               18.9525               390.175                1.0375                  9250             1.568e-13     93.02499999999998       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       230.93976       230.93976               0               0               0               0               0               0               0       1.1546988       1.1546988
     9     20.49416666666666               396.425                1.0625     9416.666666666664 1.734666666666666e-13     66.77499999999998       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       204.97406       204.97406               0               0               0               0               0               0               0       1.0248703       1.0248703
    10     18.69555555555555     389.1333333333334     1.033333333333333     9222.222222222219 2.040222222222222e-13     74.90000000000001       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       212.82202       212.82202               0               0               0               0               0               0               0       1.0641101       1.0641101
    11     21.69324074074074     351.2861111111112     1.081944444444444     9546.296296296292 1.864296296296297e-13     76.35833333333332       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       227.22749       227.22749               0               0               0               0               0               0               0       1.1361375       1.1361375
    12     17.90331018518518     401.5465277777778     1.020486111111111     9136.574074074073 1.829574074074074e-13     84.63958333333333       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       198.81391       198.81391               0               0               0               0               0               0               0      0.99406957      0.99406957
    13     22.11434413580247     395.7016203703704     0.888773148148148     9591.820987654319 1.868154320987654e-13     75.43819444444443       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       233.71374       233.71374               0               0               0               0               0               0               0       1.1685687       1.1685687
    14     18.00858603395062     384.5254050925926     1.084693287037037      9147.95524691358 1.830538580246913e-13     84.40954861111112       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       200.63353       200.63353               0               0               0               0               0               0               0       1.0031676       1.0031676
    15     19.82979873971193     385.8323109567901     1.022559799382716     9344.843106995886 1.576037551440329e-13     91.10804398148147       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0        226.2534        226.2534               0               0               0               0               0               0               0        1.131267        1.131267
    16     18.97911635159465     388.3080777391975     1.030639949845679     9252.877443415637 1.924176054526749e-13     78.95201099537037       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       196.52958       196.52958               0               0               0               0               0               0               0      0.98264788      0.98264788
    17     22.66505974579904     396.6683368698561     1.066106449331276     8318.024477023318 1.833651791838134e-13     75.79204764660491       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       209.22225       209.22225               0               0               0               0               0               0               0       1.0461113       1.0461113
    18     18.14626493644976      384.767084217464     1.016526612332819      9579.50611925583 1.821912947959533e-13     84.49801191165123       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       197.10955       197.10955               0               0               0               0               0               0               0      0.98554777      0.98554777
    19     18.02825916906007     377.1573649423439    0.9882819867755481     8955.637627886375 1.946067218935757e-13     102.3247182838221       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0        256.0826        256.0826               0               0               0               0               0               0               0        1.280413        1.280413
    20     19.87768979226502      391.608091235586     1.043945496693887     9301.409406971592 1.787516804733939e-13      75.6624295709555       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       194.19211       194.19211               0               0               0               0               0               0               0      0.97096055      0.97096055
    21      10.6283224331484     396.3850620208726      1.06543048567351     9472.774096876903 1.852572820513736e-13     77.78719480747384       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0         235.151         235.151               0               0               0               0               0               0               0        1.175755        1.175755
    22      22.0745806082871     384.6962655052182     1.016357621418378     9118.193524219227 1.826643205128434e-13     84.99679870186847       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       196.12039       196.12039               0               0               0               0               0               0               0      0.98060195      0.98060195
    23     21.68984930257744     397.6838171892786     1.070883026146303     9512.171938283311 1.855453888889881e-13     76.98612770809666       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       190.60891       190.60891               0               0               0               0               0               0               0      0.95304457      0.95304457
    24     24.21477395386616     406.1257257839179     1.106324539219455     9768.257907424966 1.874180833334822e-13     71.77919156214499       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       190.02113       190.02113               0               0               0               0               0               0               0      0.95010567      0.95010567
