#                  hjd            eff_wave            eff_band                flux               error             fluxsyn             dataset               phase                chi2
  2.456451372100e+06   6.555904522600e-07   6.560000000000e-07   1.147797901100e+00   7.249090974700e-01   9.864165058927e-01   1.000000000000e+00   1.978196725249e-01   4.956097384163e-02
  2.456451372100e+06   6.556080402000e-07   6.560000000000e-07   1.178496213500e+00   7.249090974700e-01   9.954094354084e-01   1.000000000000e+00   1.978196725249e-01   6.378915719138e-02
  2.456451372100e+06   6.556256281400e-07   6.560000000000e-07   1.285972364100e+00   7.249090974700e-01   9.983763094041e-01   1.000000000000e+00   1.978196725249e-01   1.573978326273e-01
  2.456451372100e+06   6.556432160800e-07   6.560000000000e-07   1.317502255400e+00   7.249090974700e-01   1.001670307084e+00   1.000000000000e+00   1.978196725249e-01   1.898213329001e-01
  2.456451372100e+06   6.556608040200e-07   6.560000000000e-07   1.364666045200e+00   7.249090974700e-01   1.015219349032e+00   1.000000000000e+00   1.978196725249e-01   2.323778757879e-01
  2.456451372100e+06   6.556783919600e-07   6.560000000000e-07   1.407343413400e+00   7.249090974700e-01   1.048951355831e+00   1.000000000000e+00   1.978196725249e-01   2.444272676171e-01
  2.456451372100e+06   6.556959799000e-07   6.560000000000e-07   1.429285598900e+00   7.249090974700e-01   1.112794248066e+00   1.000000000000e+00   1.978196725249e-01   1.906147886027e-01
  2.456451372100e+06   6.557135678400e-07   6.560000000000e-07   1.468680917300e+00   7.249090974700e-01   1.213586823339e+00   1.000000000000e+00   1.978196725249e-01   1.238322338407e-01
  2.456451372100e+06   6.557311557800e-07   6.560000000000e-07   1.525399721000e+00   7.249090974700e-01   1.345555008641e+00   1.000000000000e+00   1.978196725249e-01   6.155002688582e-02
  2.456451372100e+06   6.557487437200e-07   6.560000000000e-07   1.572105310600e+00   7.249090974700e-01   1.501764487566e+00   1.000000000000e+00   1.978196725249e-01   9.415595461460e-03
  2.456451372100e+06   6.557663316600e-07   6.560000000000e-07   1.589007655700e+00   7.249090974700e-01   1.675396400530e+00   1.000000000000e+00   1.978196725249e-01   1.420192542746e-02
  2.456451372100e+06   6.557839196000e-07   6.560000000000e-07   1.689251867900e+00   7.249090974700e-01   1.859631887948e+00   1.000000000000e+00   1.978196725249e-01   5.524210637555e-02
  2.456451372100e+06   6.558015075400e-07   6.560000000000e-07   1.870929982700e+00   7.249090974700e-01   2.047711364252e+00   1.000000000000e+00   1.978196725249e-01   5.947109665236e-02
  2.456451372100e+06   6.558190954800e-07   6.560000000000e-07   2.039762291100e+00   7.249090974700e-01   2.242330667906e+00   1.000000000000e+00   1.978196725249e-01   7.808654291536e-02
  2.456451372100e+06   6.558366834200e-07   6.560000000000e-07   2.177422880900e+00   7.249090974700e-01   2.447919141815e+00   1.000000000000e+00   1.978196725249e-01   1.392372484085e-01
  2.456451372100e+06   6.558542713600e-07   6.560000000000e-07   2.342471432000e+00   7.249090974700e-01   2.663908626565e+00   1.000000000000e+00   1.978196725249e-01   1.966188527833e-01
  2.456451372100e+06   6.558718593000e-07   6.560000000000e-07   2.566824863100e+00   7.249090974700e-01   2.889730962749e+00   1.000000000000e+00   1.978196725249e-01   1.984199781666e-01
  2.456451372100e+06   6.558894472400e-07   6.560000000000e-07   2.814386270800e+00   7.249090974700e-01   3.124817990953e+00   1.000000000000e+00   1.978196725249e-01   1.833855375321e-01
  2.456451372100e+06   6.559070351800e-07   6.560000000000e-07   3.069699773200e+00   7.249090974700e-01   3.369427523935e+00   1.000000000000e+00   1.978196725249e-01   1.709569688629e-01
  2.456451372100e+06   6.559246231200e-07   6.560000000000e-07   3.356086638000e+00   7.249090974700e-01   3.628954910485e+00   1.000000000000e+00   1.978196725249e-01   1.416899289781e-01
  2.456451372100e+06   6.559422110600e-07   6.560000000000e-07   3.641836975700e+00   7.249090974700e-01   3.900388973699e+00   1.000000000000e+00   1.978196725249e-01   1.272121803304e-01
  2.456451372100e+06   6.559597989900e-07   6.560000000000e-07   4.009136029100e+00   7.249090974700e-01   4.178682059451e+00   1.000000000000e+00   1.978196725249e-01   5.470262304073e-02
  2.456451372100e+06   6.559773869300e-07   6.560000000000e-07   4.362466095200e+00   7.249090974700e-01   4.458786991684e+00   1.000000000000e+00   1.978196725249e-01   1.765525244991e-02
  2.456451372100e+06   6.559949748700e-07   6.560000000000e-07   4.742119043900e+00   7.249090974700e-01   4.735656118738e+00   1.000000000000e+00   1.978196725249e-01   7.948609360047e-05
  2.456451372100e+06   6.560125628100e-07   6.560000000000e-07   5.110835150900e+00   7.249090974700e-01   5.009664489442e+00   1.000000000000e+00   1.978196725249e-01   1.947789761636e-02
  2.456451372100e+06   6.560301507500e-07   6.560000000000e-07   5.518674015000e+00   7.249090974700e-01   5.289910675017e+00   1.000000000000e+00   1.978196725249e-01   9.958771257253e-02
  2.456451372100e+06   6.560477386900e-07   6.560000000000e-07   5.881384422800e+00   7.249090974700e-01   5.571100469656e+00   1.000000000000e+00   1.978196725249e-01   1.832109942678e-01
  2.456451372100e+06   6.560653266300e-07   6.560000000000e-07   6.292934373400e+00   7.249090974700e-01   5.847105227076e+00   1.000000000000e+00   1.978196725249e-01   3.782420550160e-01
  2.456451372100e+06   6.560829145700e-07   6.560000000000e-07   6.658953268100e+00   7.249090974700e-01   6.111796301003e+00   1.000000000000e+00   1.978196725249e-01   5.697138362081e-01
  2.456451372100e+06   6.561005025100e-07   6.560000000000e-07   6.947692802300e+00   7.249090974700e-01   6.359066321960e+00   1.000000000000e+00   1.978196725249e-01   6.593446568390e-01
  2.456451372100e+06   6.561180904500e-07   6.560000000000e-07   7.171785041300e+00   7.249090974700e-01   6.600883527094e+00   1.000000000000e+00   1.978196725249e-01   6.202335999289e-01
  2.456451372100e+06   6.561356783900e-07   6.560000000000e-07   7.351031212000e+00   7.249090974700e-01   6.842186991125e+00   1.000000000000e+00   1.978196725249e-01   4.927227247051e-01
  2.456451372100e+06   6.561532663300e-07   6.560000000000e-07   7.529510620200e+00   7.249090974700e-01   7.069931081952e+00   1.000000000000e+00   1.978196725249e-01   4.019335590619e-01
  2.456451372100e+06   6.561708542700e-07   6.560000000000e-07   7.678405139200e+00   7.249090974700e-01   7.271070167478e+00   1.000000000000e+00   1.978196725249e-01   3.157448646642e-01
  2.456451372100e+06   6.561884422100e-07   6.560000000000e-07   7.701959602100e+00   7.249090974700e-01   7.432558615598e+00   1.000000000000e+00   1.978196725249e-01   1.381119519423e-01
  2.456451372100e+06   6.562060301500e-07   6.560000000000e-07   7.624712840500e+00   7.249090974700e-01   7.541306671424e+00   1.000000000000e+00   1.978196725249e-01   1.323820944832e-02
  2.456451372100e+06   6.562236180900e-07   6.560000000000e-07   7.513551676300e+00   7.249090974700e-01   7.592288876728e+00   1.000000000000e+00   1.978196725249e-01   1.179757746811e-02
  2.456451372100e+06   6.562412060300e-07   6.560000000000e-07   7.360422610000e+00   7.249090974700e-01   7.598514008019e+00   1.000000000000e+00   1.978196725249e-01   1.078748761251e-01
  2.456451372100e+06   6.562587939700e-07   6.560000000000e-07   7.231806669600e+00   7.249090974700e-01   7.575139892438e+00   1.000000000000e+00   1.978196725249e-01   2.243182252321e-01
  2.456451372100e+06   6.562763819100e-07   6.560000000000e-07   7.052880526000e+00   7.249090974700e-01   7.537324357123e+00   1.000000000000e+00   1.978196725249e-01   4.466010705645e-01
  2.456451372100e+06   6.562939698500e-07   6.560000000000e-07   7.053829273400e+00   7.249090974700e-01   7.500225229213e+00   1.000000000000e+00   1.978196725249e-01   3.792044302764e-01
  2.456451372100e+06   6.563115577900e-07   6.560000000000e-07   6.975945242700e+00   7.249090974700e-01   7.468618732509e+00   1.000000000000e+00   1.978196725249e-01   4.619035369971e-01
  2.456451372100e+06   6.563291457300e-07   6.560000000000e-07   7.027651043100e+00   7.249090974700e-01   7.420664615738e+00   1.000000000000e+00   1.978196725249e-01   2.939327633481e-01
  2.456451372100e+06   6.563467336700e-07   6.560000000000e-07   7.084310246600e+00   7.249090974700e-01   7.362860257192e+00   1.000000000000e+00   1.978196725249e-01   1.476519742991e-01
  2.456451372100e+06   6.563643216100e-07   6.560000000000e-07   7.176910141400e+00   7.249090974700e-01   7.304274009883e+00   1.000000000000e+00   1.978196725249e-01   3.086920060530e-02
  2.456451372100e+06   6.563819095500e-07   6.560000000000e-07   7.290933423500e+00   7.249090974700e-01   7.253974226823e+00   1.000000000000e+00   1.978196725249e-01   2.599428917518e-03
  2.456451372100e+06   6.563994974900e-07   6.560000000000e-07   7.398303175200e+00   7.249090974700e-01   7.221029261024e+00   1.000000000000e+00   1.978196725249e-01   5.980294449419e-02
  2.456451372100e+06   6.564170854300e-07   6.560000000000e-07   7.470844935400e+00   7.249090974700e-01   7.211143548051e+00   1.000000000000e+00   1.978196725249e-01   1.283457343365e-01
  2.456451372100e+06   6.564346733700e-07   6.560000000000e-07   7.524056134200e+00   7.249090974700e-01   7.218361497633e+00   1.000000000000e+00   1.978196725249e-01   1.778314370159e-01
  2.456451372100e+06   6.564522613100e-07   6.560000000000e-07   7.535800096300e+00   7.249090974700e-01   7.234340421754e+00   1.000000000000e+00   1.978196725249e-01   1.729383661814e-01
  2.456451372100e+06   6.564698492500e-07   6.560000000000e-07   7.487091697400e+00   7.249090974700e-01   7.250737957940e+00   1.000000000000e+00   1.978196725249e-01   1.063060191830e-01
  2.456451372100e+06   6.564874371900e-07   6.560000000000e-07   7.396793561200e+00   7.249090974700e-01   7.259211743716e+00   1.000000000000e+00   1.978196725249e-01   3.602093522220e-02
  2.456451372100e+06   6.565050251300e-07   6.560000000000e-07   7.204302491700e+00   7.249090974700e-01   7.252505837953e+00   1.000000000000e+00   1.978196725249e-01   4.421679656024e-03
  2.456451372100e+06   6.565226130700e-07   6.560000000000e-07   6.970829636400e+00   7.249090974700e-01   7.241288506973e+00   1.000000000000e+00   1.978196725249e-01   1.391987579059e-01
  2.456451372100e+06   6.565402010100e-07   6.560000000000e-07   6.813395712500e+00   7.249090974700e-01   7.226715930850e+00   1.000000000000e+00   1.978196725249e-01   3.250919384464e-01
  2.456451372100e+06   6.565577889400e-07   6.560000000000e-07   6.703228008300e+00   7.249090974700e-01   7.203800858208e+00   1.000000000000e+00   1.978196725249e-01   4.768342925426e-01
  2.456451372100e+06   6.565753768800e-07   6.560000000000e-07   6.607882698100e+00   7.249090974700e-01   7.167555997630e+00   1.000000000000e+00   1.978196725249e-01   5.960766046992e-01
  2.456451372100e+06   6.565929648200e-07   6.560000000000e-07   6.627517259800e+00   7.249090974700e-01   7.112994091580e+00   1.000000000000e+00   1.978196725249e-01   4.485077149945e-01
  2.456451372100e+06   6.566105527600e-07   6.560000000000e-07   6.609309339500e+00   7.249090974700e-01   7.038640729210e+00   1.000000000000e+00   1.978196725249e-01   3.507665605039e-01
  2.456451372100e+06   6.566281407000e-07   6.560000000000e-07   6.615035999300e+00   7.249090974700e-01   6.953595438176e+00   1.000000000000e+00   1.978196725249e-01   2.181236479188e-01
  2.456451372100e+06   6.566457286400e-07   6.560000000000e-07   6.540790466900e+00   7.249090974700e-01   6.854217668165e+00   1.000000000000e+00   1.978196725249e-01   1.869417350568e-01
  2.456451372100e+06   6.566633165800e-07   6.560000000000e-07   6.730900844100e+00   7.249090974700e-01   6.735374235192e+00   1.000000000000e+00   1.978196725249e-01   3.808085029019e-05
  2.456451372100e+06   6.566809045200e-07   6.560000000000e-07   6.757054783400e+00   7.249090974700e-01   6.591931955272e+00   1.000000000000e+00   1.978196725249e-01   5.188563503788e-02
  2.456451372100e+06   6.566984924600e-07   6.560000000000e-07   6.733612598100e+00   7.249090974700e-01   6.418757644418e+00   1.000000000000e+00   1.978196725249e-01   1.886487625998e-01
  2.456451372100e+06   6.567160804000e-07   6.560000000000e-07   6.632163819900e+00   7.249090974700e-01   6.205661917550e+00   1.000000000000e+00   1.978196725249e-01   3.461583762616e-01
  2.456451372100e+06   6.567336683400e-07   6.560000000000e-07   6.465351251500e+00   7.249090974700e-01   5.952803800357e+00   1.000000000000e+00   1.978196725249e-01   4.999206267099e-01
  2.456451372100e+06   6.567512562800e-07   6.560000000000e-07   6.232036396800e+00   7.249090974700e-01   5.674760276114e+00   1.000000000000e+00   1.978196725249e-01   5.909813389150e-01
  2.456451372100e+06   6.567688442200e-07   6.560000000000e-07   5.924294742900e+00   7.249090974700e-01   5.386167692692e+00   1.000000000000e+00   1.978196725249e-01   5.510646424896e-01
  2.456451372100e+06   6.567864321600e-07   6.560000000000e-07   5.552453392300e+00   7.249090974700e-01   5.101662397972e+00   1.000000000000e+00   1.978196725249e-01   3.867081833302e-01
